text,English,label
outrage; indignity; shamefulness%● Polisiya halaqaa qashoy kawshshatetta.,The,positive
kayatiis%1. intransitive verb%► take turn%● I taappe simmidi kayatiis.,He took,positive
kiyanaagee keehi meto.,It is too difficult for some thieves to get away from,negative
qanxxettido sohay kayyettiis.,Where the big tree was cut the land became,negative
kebbiis%1. transitive verb%► fasten%● Qashuwa kebbiis.,He fastened the bundle.,positive
goshshaa keediis.,Your bull is trained to plow.,positive
keemmiis.,The shepherd caused the cattle to enter their home.,negative
neessi koshshidaakko nuussi oduuttee?,Would you tell us the amount of money,negative
keesettoosona.,The merchants compete for buying food.,positive
keeshiya%1. noun%► basket (bamboo)%● A donuwa keeshiyan aattaasu.,She put,positive
keesiya%1. noun%► auction; bid%● Uteelee keesiyawu kiyiis.,The hotel is up for,positive
mizzanaassi gidiya qumi baawa.,The poor family does not have enough food to,negative
awu biidee? Keettaa saa biis.,Where has your father gone? He went to the place,negative
danuwa oottiyagee keettaa xuuggiyagaa geetettees.,An arsonist is a criminal,negative
nu shooron ooshshaa kejejattidosona.,"Yesterday, two men were disputing noisily",negative
haasayishin kelttiya geloppa.,Don't interrupt me.,positive
kerbbebiis.,The yam leaves grew when the rain fell.,negative
attiis.,He escaped from the danger.,positive
baalliyadan bootta.,white as a 'keta's feathers,negative
baawa.,The matchbox is without match.,negative
anee?,Where is a match to start the fire?,negative
miishshaa kiisiis.,He pocketed the money.,negative
kiisiya%1. noun%► pocket%● A taassi immido qulppiya ta kiisiyan yeggaas.,She,positive
kimbbishiis%1. transitive verb%► paralyze%● Assi bolay kimbbishiis.,His body,positive
kinchchiriiriis.,The firewood that you split became dry.,negative
kinchchoyiis.,The mist turned the day cold.,negative
kiphataara dees.,His talk is often of good mood.,positive
oykkada hemettaws.,"The girl, whose leg was hurt by a car, was walking with a",negative
Kuttoy kirishiyan puuphullees.,Hens lay eggs in the henhouse.,negative
denttissadii?,Did you have your children christened?,negative
Kiyiya miishshaa kaallanawu danddayenna.,He spends a lot of money daily. He,negative
eettanawu qoraasu.,The woman collected dry dung for the fire.,negative
kkokka%1. connective%► even if%● Iray bukkikkokka nuuni baana.,We shall go,positive
kko% 1. postposition%► to%● Mehiya dembbaakko laagga.,Drive the cows to the,positive
kocaa%1. noun%► hanger%● Ashuwa kocan kaqqeettees.,We hang meat with a hanger.,negative
haattan meecettidoogaappe denddidaagan tana kokkorssiis.,Bathing in the cold,negative
uttoppa. Wombbaray kol''iqol''ees.,Don't sit there. The chair is shaky.,negative
publicly%● konttiraatiya maachchaa kolettaa/laalettaa,abrogation of contract,negative
kolettiya kalttaa,a loose axe,negative
oottaas.,I turned up my collar against the wind.,negative
"kolloojjiya%1. noun%► college%● Taani Kolloojjiyan naa""u laytta xanna'aas.",I,positive
kombbaasettoosona.,My younger brothers are always fighting.,positive
ooraxxissiyogaa,the renewal of the contract,positive
keettaa konttiya toossiis.,The thief emptied my house.,negative
laamiya oottiis.,"The director, who was promoted by the committee, made the",positive
koohuwa%1. noun%► cob%● Badalaa koohuwa miizzay mees.,Cows are used to eating,positive
koollaa%1. noun%► glue%● Xawulaa minttanaassi koollay anee?,Where is the glue,negative
Ha keettaassi koolee iita.,The maintenance on this house was done poorly.,negative
shooshshay geliis.,The snake entered the hollow space in the stone.,negative
kooraa%1. noun%► saddle %● koori baynna paraa,a horse without saddle,positive
togganawu kooriis.,He saddled the horse in order to ride it.,negative
kooshimawusu.,This narrow room echoes.,negative
koosettaa koosawusu.,She is roasting the flour mixed with water.,negative
beettees.,"If meat is eaten raw, you will get tapeworms.",negative
such as water%● I haattaa kushiyan kophphetiis.,He cupped water in his hands.,positive
gaaccaasu.,She ground two hands full of maize.,negative
zin''ees.,A corpse is put on a bed before it is buried.,negative
biittay korchchochchiis.,The earth was parched as there was no rain at all.,negative
something %● I baaxiyan ba laggiya koridi onggiis.,He tripped his friend,negative
"sound%● Carkkoy carkkin, mela bonccoy koshoshattiis.","When the wind blew, the",positive
aattiyogee koshshenna.,It is unnecessary to speak harmful words against,negative
kosiya%1. noun%► resting place%● Ooratta shammido miizziya kosiya ekkaasu.,The,positive
people or groups%● Booray naa''u asaassi kotta.,The shared ox was owned by two,positive
Kuttiya phuuphulla simmada koxiya ekka gaws.,A hen cackles after laying eggs.,negative
koxxadasa.,You retracted your promise.,negative
called)%● I taani xeesin koyiis.,"He said ""yes"" when I called him.",positive
koyro yeetta.,This is the first time for me to come.,positive
wodee aadhdhiis.,"Before we reached the school compound, it had begun to rain.",negative
goynnoosona.,Christians worship in the church as Muslims do in the mosque.,positive
kuletiis%1. intransitive verb%► be lumpy%● Bukeessoy kuletiis.,The dough is,negative
kuliya%1. noun%► lump%● Ta shendderan kulee dees.,There are lumps in my,negative
kulm''iis%1. transitive verb%► flex%● A ba tohuwa kulum''aasu.,She flexed her,positive
zin''iis.,The boy flexed his leg while sleeping.,negative
oottaydda pee'adii?,What were you doing the whole afternoon?,negative
aggiis.,He felled his opponent with a single blow.,negative
kunttawusu; yelana hanawusu.,My heifer is pregnant; she is going to give,positive
wayssiya na'aa huuphiya kurkkumiis.,The man rapped the naughty boy on the,negative
harggiyappe sohuwara kurumoosona.,Adults are often immune to measles.,positive
kushe hiilla%1. adjective%► vocational%● kushe hiillaa loohissuwa,vocational,positive
kaamiya shammanawu kushe kessanee?,Will it be sufficient enough to buy a car,negative
qoodiyo kaassaa.,Handball is played by throwing a ball to score points.,positive
"gayttikko, macca asay shahaarenna.",Pregnancy will not result if a woman has,negative
meezee dees.,My son has the irritating habit of biting his fingernails.,negative
taayyoo wolqqaama acoy dees.,I am deeply indebted for what he has done.,negative
hankkooti ubbay kushiya baqqidosona.,The other students clapped their hands,positive
Oonakkonne karen kushushattees.,Someone is whispering outside.,negative
kusiis%1. intransitive verb%► wither; shrivel; wilt%● Boynay kusiis.,The yam,negative
kuttiyo%1. noun%► hen%● Ta kuttiya ha saminttan laappunaa phuuphullaasu.,My,positive
kutto addiya%1. noun%► cock; rooster%● Kutto addee waassees.,A cock crows.,negative
kuuccidi kuttotussi laaliis.,He took a handful of grain and scattered it for,negative
%● A kuuchcha banggaa kuttotussi qolaasu.,She scattered a handful of barley,negative
kuulumuulees.,The boy is swinging on the tree.,positive
"amassed, be collected%● Gimbbiyosan cora shuchchay kuurettiis.",There are many,positive
wurssettan gelees.,A full stop is used at the end of a statement.,negative
kuwaasiya%1. noun%► ball%● Cooga! Ixxikko ta nena kuwaasedan xefeellana.,Shut,negative
shemppees.,"Working hard, he gets a little rest in the shade of the tree.",negative
kuwayaasu.,She shaded her eyes against the sun.,positive
kuwayiis%1. transitive verb%► shade%● Mittay nuna kuwayiis.,The tree shaded,positive
liquids%● Tohuwa meecettanawu taassi haattaa kuyxaaruwan immarkkii.,Please,positive
"Amerkkan, 1800 ML giddon, aylleti la'a kiyidosona.","In America, in the 1800's,",positive
wurssetta paaciya ekkanawu danddayakka.,You cannot take the final examination,negative
laafatettaa%1. noun%► laziness%● Neessi waanna mooroy laafatettaa.,Your main,positive
miishshaa kessiiddi wurssanawu laafettiis.,He kept spending his bank account,negative
kaamiya laaguwa timirttiya demmennan waati laagganawu danddayii?,How could he,negative
woraqatay baynna uray kaamiya laaggana danddayenna.,No one can drive a car,negative
"laalibala%1. adjective%► deceptive, misleading%● laalibala asa",a deceptive,positive
laashshimoy yexettees.,We sing a wedding song at wedding ceremonies.,positive
laatissiis.,He bequeathed his daughter his whole property.,positive
laattiis.,He inherited some items from his father.,positive
labaa%1. noun%► matchmaking%● Issi issi wogan ha''ikka labay dees.,Some,positive
bitanee ekkanawu labin ixxaasu.,The girl refused when she was wooed by the,negative
aggiis.,The fire flared and went out.,positive
mokkissenna.,The infertile soil will not produce a crop.,negative
(always bad sense)%● I nu shooron azinay hayqqido maccaasiyo laggettiis.,He,positive
oyqqiis.,He made her his mistress in the absence of her husband.,positive
lagiis%1. transitive verb%► refuse%● I ba morkkiyara kattaa maanawu lagees.,He,positive
lakettaa,the tiptoeing of thieves at midnight,negative
emeren lakkiyogaa siydi kanay bocciis.,The dog barked at midnight when it,negative
"aaway payya para shammanaassi lal""ees.",Our father is searching for a good,negative
lammachcha; kaamiya laaguwayyoo assi meezee darenna.,This boy is a beginner;,positive
na'aa lanqqekkaasu.,"As she walked, she carried her little son.",positive
lanqqiis.,The patient only picked at his breakfast.,negative
lanqquwa%1. noun%► cracker%● qeeri naatu lanqquwa,babies' cracker,positive
Harggiya maray maataa laqashees.,The sick calf is grazing grass listlessly.,negative
shayiyan yeggada laqilaqissaasu.,"Putting more sugar in the tea, she sweetened",negative
lassaniis.,He plastered the wall with mud.,negative
lasttiqiya%1. noun%► plastic%● Lasttiqee wayssennan merettees.,Plastic is made,negative
"Caammaa wottana xayikko, ne tohuwa lawachchee xuugganaw danddayees.",Unless you,negative
laxettaa%1. noun%► scorch%● guutta laxetta shamiziya bolli,a light scorch on,positive
leegee miis.,The boring insect attacked the maize plants.,negative
wogaa ogiya cora qofa qashotun leemisiis.,He illustrated the pattern of the,positive
sittissanawu koshshees.,The bent metal needs to be straightened.,negative
leeqqamidaagaa sittissa.,Straighten the knife which is bent.,positive
lefan%1. adverb%► loosely%● I silkkiya lefan oyqqiis.,He held the phone,positive
giikkii?,Why don't you appear here tonight?,negative
koshshees.,The lens of my glasses is broken. It should be repaired.,negative
lichchi giis%1. intransitive verb%► fall prostrate%● I arssan lichchi giis.,He,positive
licuwa%1. noun%► twig%● Mittaa licuwa deeshshay mees.,Goats are used to eating,negative
kiyanawu lifttiya go''ettiis.,He took the lift to the third floor.,positive
liixiis%1. transitive verb%► make dough%● A liixiya liixaasu.,She made dough.,negative
"yaa'aayyoo wodiya aattaas, hegaa gishshawu likikattada gelaas.",I was late to,negative
wottidi menttiis.,He misplaced my mirror and broke it.,negative
"lim""ilim""iis.",The fire flickered.,positive
liphanaashin ta simmana.,I will be back before you can blink.,positive
liphiya (liphettaa)%1. noun%► blink%● ayfe liphiya,a blink of an eye,positive
litiruwa%1. noun%► liter%● Litiro maattay aappunee?,How much does milk cost,negative
"Lo""uwan aqa!",We are tired. We are going to bed now. Good night!,negative
lo''o oosuwa%1. noun%► charity so asaa%● lo''o oosuwa,the charity of the,positive
giyobaa siyays.,Slow down; let me understand what you are saying.,positive
lohissiyagaa%1. noun%► trainer%● Loohissiyagee harata loohissees.,A trainer,positive
loobbaa%1. noun%► cattle disease%● Loobay booraa goynaa mulugissiis.,The,positive
yeechchaa loollaasu.,She fried moderately the 'enset' leaf so that it would,negative
dampness) %● Mela sussay haattan laagoxissin looxigees.,Dry enset cord is,negative
looxigissiyagaa%1. noun%► lubricant%● Giraassoy looxogissiyabaa.,Grease is a,negative
ichchawu layttaa qashuwawu pirddettiis.,He stole from people's pockets and was,negative
Looxilooxoppa; guuttaa shemppa ekka.,Don't be fidgety; get a little rest.,negative
loqoqqiis.,The boy became thin after the sickness.,negative
lotoriya xooniis.,He had good luck and won the big lottery.,positive
"loytti%1. adverb%► hard%● I loytti xanna'ikko, paaciyan aadhdhana.",He will,positive
loyttidi%1. adverb%► beautifully%● Ne na'iya loyttada yexxaasu.,Your daughter,positive
lufatiis%1. intransitive verb%► lisp; slur%● Na'iya lufataasu.,The young girl,positive
luuyidosona.,They sowed teff under maize.,negative
luysha.,The girl has smooth hair.,positive
maacettiis.,The contractor fulfilled an agreement to construct the road.,positive
issippe oottana giidi maacidobaa kolidosona.,The women retracted their,negative
maacuwan oyqqettaasa.,"If your foot is always moist, you will get fungus.",negative
comppiwteriya go'ettiyo ogiya tamaarissanawu maaduwassi oottiyagaa koyees.,The,positive
maagooliya%1. noun%► whale%● Maagooleti haatta giddon doosona.,Whales live in,positive
"maaguliis%1. intransitive verb%► be massive, be huge%● Xiihoy maaguliis.",The,positive
bukkin maajettaa doommiis.,The salt loaded on the donkey started oozing when,negative
"Haylee maaraatooniya, xoonnin deree malaalettiis.",People were surprised when,positive
harggissees.,"If we drink impure water, we will get sick.",negative
maammasiya%1. noun%► stirring stick%● A woxiya maammasiyan qaattawusu.,She is,positive
"line%● La A soossi ayba boshee! Naa""u naati maaraara hayqqidosona.",What a,positive
adussaa gakkanaashin maaran maaran salppiyo sohuwan eqqidosona.,From short to,negative
ixetta macaassiyo maaretissiis.,The doctor helped the pregnant woman when she,positive
"haattaara gattikko, maarettees.","If salt is mixed water, the salt dissolves.",negative
simmidi issoy issuwaara sigettidosona.,Two quarreling people reconciled after,positive
hayqqanaappe kase bawu diyabaa maarideeyye coo hayqqidee?,Did the old man in,positive
maarisaa%1. noun%► chisel%● Maarisay mittaa lukkanawu maaddiya miishsha.,A,positive
maariya%1. adjective%► merciful%● maariya Xoossaa,merciful God,positive
maariyogee meezetidobaa.,It is typical for parents to write a will before they,negative
gakkanaassi ta iira haasayikke.,I won't speak to her until she apologizes to,negative
maarotan%1. adverb%► mercifully%● Xoossay maarotan nu nagaraa atto giis.,God,positive
suuriyode ayfee muletoo maaruqees.,Our eyes often discharge when we wake up in,negative
maashshees.,Sugar and salt dissolve in water.,positive
maashineeriya,agricultural machinery,positive
"xaafabeenna gishshawu, dirssatiya annaaciya xoonabaakka.",You did not win the,negative
baaxettoosona.,The authorities are working hard to respect the rights of,negative
qumaa immiis.,The grassy field provided plenty of food for the sheep.,positive
maaxxanawu danddayukku.,A dry cow cannot give us milk.,negative
maattaa%1. noun%► milk%● Miizzaa maattaappe oyssaanne pilaa kessoos.,We make,positive
maattiis%1. transitive verb%► milk%● Hagee maatay miizzaa maattees.,The cows,positive
"caanappe attin, togawu maaddenna.","A pack horse is used for carrying goods, but",negative
maaxafiya%1. noun%► hinge%● Saaxinee maaxafiyappe kiyiichchiis.,The box has,positive
maaxiya%1. noun%► pin; barb; peg%● Maaxee joyniya sikkanaassi maaddees.,A pin,positive
maaxxaasu%1. transitive verb%► give milk%● Miizziya maaxxawusu.,The cow gives,positive
maayettanawu tobbiyogaa%1. noun%► negotiation,Heeran merettida metuwayyoo,negative
maayettanawu tobbiyogaa keehippe koshshees.,Negotiation is strongly needed to,positive
paraa cimbbappe oosettida yetta miishsha.,A violin is a wooden musical,negative
kaa'iyagaa.,A violinist is a player of a wooden musical instrument with,negative
loytta baqqawusu.,This woman is good at plaiting the fringe of the 'gabi'.,positive
"macaraa, afalaa macaraa","fringe on the clothes, fringe on the cultural cotton",negative
mattuman dummattiya asati gayttotaa giyogaa.,Copulate means to have sexual,positive
be'aas.,I saw the thief taking the woman's purse.,negative
maccaasaa%1. noun%► women (plural)%● Maccaasay qamisiya maayees.,Women wear,positive
xoonidaagaa.,A medalist is somebody who has been awarded a medal in a,positive
madaalaa%1. noun%► medal%● I wottan xoonidi madaalaa woytuwa ekkiis.,He was,positive
yeggiis.,"When he had nailed the poles together, he put the hammer in the box.",negative
issippe beenna.,The color of the curtains and the walls do not match each,negative
polisetussi miishshaa maganxxidosona.,They bribed the policemen with money.,negative
ekkiis.,"He received an 8,000 birr bribe to drop the charge.",negative
"maggaayiyo%1. noun%► mare, a female horse%● Maggaayiya paraa yelawusu.",A mare,negative
oykkidi maggulssiis.,He shook the spear by holding the center of its handle.,positive
"simmidi, mahettidosona.",The husband and wife reconciled after quarreling.,positive
Laashshoona.,"King Sana's cemetery is at Lasho, Wolaita.",negative
shiishshiyo tankkiyan dagayanaw wottiis.,He put a mechanical pump in the,negative
mal''iya%1. noun%► wedge%● Mal''ee mittaa qoo'anaw maaddees.,A wedge is used,negative
soofanaw maaddiya kushe miishsha.,A plane is a hand tool for smoothing wood.,negative
malaataa%1. noun%► symptom%● harggiya malaataa,symptom of a disease,negative
malahotees.,Cows get fat in the rainy season.,negative
malakusiya%1. noun%► monk%● Malakuseti kaashshan doosona.,Monks live in the,positive
"maldduwa%1. noun%► sorghum; millet%● Maldduwa maqay miizzaa mal""ees.",Stalks of,negative
Milile Wode malkkay Wolayttan daro huqqunnaa gattiis.,The civil and military,positive
kolloojjiyassi malkkachchaa gelissiis.,He applied to the college two weeks,negative
malkkachchaa%1. noun%► application%● ooso malkkachchaa,job application,positive
mallisiis%1. transitive verb%► spin%● A shaluwa mallisaydda dawsu.,She is,positive
ixxees.,What a mischievous man he is! Everybody hates him.,negative
"Huuphiya giigissiyagee A huuphiya meedi simmin, malxxaxxiis.",After the barber,positive
mammo%1. noun%► mom; mum; mama%● Cima aayyiyo mammo geettees.,We call old,negative
oychchanaassi mammotoppa.,"If you're confused by my questions, don't hesitate",positive
kessanaw go'ettiyo miishsha.,A churn is an earthen pot in which milk is,negative
de'iis.,The monk lived alone in the mountains and prayed most of the day.,positive
manggaagaa%1. noun%► jaw%● bolla woykko qommo bagga manggaagaa,the top or,positive
"qan""iyaw mangguwanne daabbuwa maas.",I had mango and bread for my breakfast.,positive
mankkaa%1. noun%► discipline%● Mankki baynna naati suure diccokkona.,Children,positive
Israelites in the wilderness%● Mannay saluwa Xoossay giigissido qumaa.,Manna,negative
"wuuqqidi, A manqqettiis.","The thief stole all his property and as a result, he",negative
maqasiyan qanxxees.,A barber cuts hair with a pair of scissors.,negative
xillissirigin attinya orccuwa.,'Maqata' is the residue when 'enset' dough is,negative
"gishshawu, A ha maqqaccoy gakkiis.","Measures have been taken against him, for",negative
koyees.,That plow needs repairing.,negative
marggacaa%1. noun%► single comb%● marggaca kuttuwa,single comb hen,negative
cora toone zaytiya ba giddon oyqqiis.,The tanker carried tons of oil in its,negative
"malttiya markkattikko, qashettaasa.","If you testify wrongfully in court, you",negative
Ne ta suriya wuuqqidoogaa mala taani ha heezzu asata markka oottana.,Since you,positive
xeeran kamoy diyogaa.,A safety pin is a loop shaped pin that fastens into,negative
"Ta na'awu, hayyanaa taassi ha marppiyan qunccuutiya aattuutee?","My son, would",positive
go'ettidi shuchchaa xoqolliis.,He used the crowbar to uproot the stones.,negative
shooshshati doosona.,There are many types of poisonous snakes.,negative
oyqqiyosaara diyabaa.,A drawer is shaped like a box and has a handle on its,negative
mashshaa%1. noun%► knife%● Genee ta bolli mashshaa kessiis.,The man drew a,positive
masimaariya koshshees.,Many packets of nails are needed to build a house.,negative
not swallowed%● Qeeri naati masttiqaa dosoosona.,Children like chewing gum.,negative
oottees.,Drunkenness causes you to stagger.,negative
"maxiniya%1. noun%► salt%● Maxinee baynnan katti mal""enna.",Food is not tasty,negative
maykiroskkoppiyan qonccidi beettoosona.,Even tiny objects are seen clearly,positive
cenggurssaa xuqqissidi haasayanaawu maaddees.,A microphone is used to speak,negative
phalqqettida woyshshaappe merettees.,A scraper is made from split bamboo.,negative
burccukkoy akeekan oykettanawu bessees.,The fragile glass should be held,negative
shemppidi kessoossona.,Animals eliminate carbon dioxide from their body.,negative
koyees.,Men's beards require shaving.,negative
"meeggiis%1. intransitive verb%► be cold, be chilly%● Karen sa'ay meeggees.",It,positive
bullachchaa gallassi bullashettiyarissi danccuwa birshsshawusu.,It is a,positive
meeshettiis.,The floor was daubed with cow dung.,negative
goshshanchchati darotoo meesho keettan de'oosona.,Wealthy farmers often live,positive
melissiis%1. transitive verb%► dry%● Away irxxa maayuwa melissiis.,The sun,positive
kace mehe.,Buffalo is an ox-like horned animal.,negative
menttuwa%1. noun%► article%● ano seeraa menttuwa,constitutional article,positive
menttuwa%1. noun%► land; plot%● mentto biittaa,plot of land,positive
menttuwa%1. noun%► paragraph%● menttuwa xaafuwa,paragraph writing,negative
bari na'aassi meqettaa iitidi wadhdhiis.,Father was cruel to his son and,negative
%● Miizziya ba maree mereetaa laaccawusu.,The cow licks the meconium of its,negative
merina%1. noun%► eternity; ever%● merippe merinawu,for ever and ever,positive
on skin%● Merkkuwa giishshiis.,He let the pus out of the boil.,negative
diggaasu.,My mother prohibited my sister from dating with her friend.,negative
micissaasu.,She caused the maize to burn black while roasting it.,negative
miichchiis%1. transitive verb%► make laugh%● Nena aybee miichchiyay?,What,positive
miichchiluwa%1. noun%► dimple%● Na'iya miicciyo wode miichchiloy beettees.,The,positive
baalaa bonchchanawu daro asay kare biittaappe yiis.,A lot of people came to,positive
"toothpick%● Achchay miiqqana xayikko, moorettees.",Unless our teeth are,negative
era paca.,It is unwise to use somebody's toothpick.,negative
pootuwa be'aas.,I saw his lover's photograph in his wallet.,negative
"miishshaappe 300,000 biraa pacinchchiis.","He embezzled 300,000 birr from the",negative
mooroy I bolla beettiis.,She was found guilty of embezzlement.,negative
dirssan aggiis.,The farmer left the cattle in the pen.,negative
yeessana hanees.,A milkman is going to milk the cow.,negative
mirqqettiis.,The wire was twisted.,negative
waassaas.,I shouted when he twisted my hand.,negative
shiishshida.,We submitted a sheaf of wheat to the church for thanksgiving.,negative
mishiraa%1. noun%► bridegroom%● Mishiray kumetta bootta maayuwa maayiis.,The,positive
Mishiraachcho! Ne na'iya Kolloojjiyappe anjjettaasu!,Congratulations! Your,positive
mishiratettaa wodee eta ufayssiis.,Their honeymoon period was happy.,positive
mishiriyo%1. noun%► bride%● Mishiriya siirixa giddon xiihettawusu.,The bride,positive
mitta ayfiya%1. noun%► fruit%● mitta ayfetanne darkkon mokkiyabata,fruits and,positive
mitta boyyiya%1. noun%► cassava%● Mitta boyyee unkkoy meetettiya doza.,Cassava,positive
mitta wombbaraa%1. noun%► hard chair%● Anaaxee mittaa wombbaraa waaxiis.,The,positive
qanxxiis.,He felled down a tree with an ax.,negative
qanxxiyagee mittaa qeriis.,The lumberjack is splitting the firewood.,negative
mixaamixuwa%1. noun%► chili pepper%● Mixaamixoy poogees.,The chili pepper is,positive
mixoosona.,The children are gathering up dry sticks in the forest.,negative
entertainment or disgust or contempt)%● I cuchchaa mixxilliis.,He spat the,negative
gakkanawu miyo kattaa,food to be eaten in a month,positive
miyyekkiis.,The boy turned to my side while we were walking.,positive
Heezzu ishantti metoy gakkiyode issoy issuwara miyyetidosona.,The three,positive
kokkaa kokkanawu maccaasaa dagoy haattaa miyyees.,Communal laborers are,negative
malatees.,Immature maize looks like snakes' eyes.,negative
moggaa,decoration for the neck,positive
or something else%● Issi sunttay diyo naa''u asati moggo geetettoosona.,Two,positive
mokki wuliya awa,the setting sun,positive
mokkiyagaa%1. noun%► receptionist%● uteeliyan imataa mokkiyagaa,the hotel,positive
"molaalaa%1. noun%► rectangular, singlestory house%● molaala keettaa",a,positive
molddoda%1. adjective%► slender; slim%● molddoda anoy diyo mittaa,a plant with,positive
bees.,The fisherman is going to the river holding the net.,positive
moliya%1. noun%► fish%● Molee haattaa giddon de'ees.,Fish live in water.,positive
mololla%1. adjective%► smooth%● mololla xawlaa,a smooth plank,positive
looshiniya tiyidoogee mololliis.,The mother applied lotion to her baby's skin,negative
mommolada yaasu.,She prepared cultural food for the wedding ceremony.,positive
shukkiis.,The butcher slaughtered the very fat ox.,negative
"mon""ariis%1. intransitive verb%► get fat%● Maqaa miya mehee mon""arees.",Cows,positive
hayqqiis.,A lot of people died because of class struggle.,negative
moodaa%1. noun%► class%● Ne ne moodaa ekkaasa.,You will get your share.,positive
moodettiis/maddabettiis.,He graduated and was assigned a job.,positive
lefan bookkidosona.,The villagers dug a shallow hole in order to bury the,negative
"mooho%1. adjective%► cracked, a cracked jar%● Mooho otoy haattaa aattees.",A,positive
qoodees.,"When cows are ceremonially counted, another rich person who has",positive
mooradaa%1. noun%► file%● Mooradan mashshaa qarayuutee?,Would you sharpen the,positive
"gishshawu, A maqqaccoppa.","Since his innocence is known, don't punish him.",positive
for a newly acquired cow)%● Moozo miizziya imattatawusu.,The shy cow acted,positive
%● I boora xiikkidi morettana koyiis.,He would like to fatten the ox.,negative
oosuwa qammi poloosona.,Robbers usually do their thieving in the dark.,negative
"Naa""u laggeti morkkettidosona.",The two friends have broken their friendship.,negative
doommidi tana morkkees.,He became an enemy of mine when he quarreled with me.,negative
naagees.,God safeguards me from enemy attacks.,positive
morssaa%1. noun%► poisonous mushroom%● morssa mala bootta,as white as a,negative
"looking, graceful, lovely%● Maccaasa ubbay he motoloola bitaniya xeellees.",All,positive
moytilliya%1. noun%► ghost%● Moytillee hayqqida asaa ayyaanaa.,A ghost is the,negative
achchay woocettiyogaa leppees.,Brushing and rinsing your mouth after meals,positive
mucanawu koshshees.,We must rinse our teeth after every meal.,negative
oykettanawu danddayenna.,A tailless dog cannot be caught by a hyena.,negative
mudiis.,He chopped the wood into short chunks.,negative
"mul""iis%1. intransitive verb%► sprout%● Iray wodhdhin, maatay mul""ees.",The,positive
ayfee sakkidi mulccattiis.,The small girl's eyes got runny due to the illness.,negative
ayfe malattees.,The immature corn seeds look like snakes' eyes.,negative
mule%1. adverb%► never%● Ta ne kehatetta mulekka dogikke.,I shall never forget,positive
qoliis.,The mangy dog lost much of his hair.,negative
na'iya mulssussa.,The little girl is beautiful.,positive
mulxxuxxu giis.,"Washing it thoroughly, the cotton blanket became very white.",negative
lo''idi doommees.,Seed germination is best during the rainy season.,positive
zerettay munnibeenna.,The seeds did not germinate because of the harsh sun.,negative
muraamuriis.,The man overlapped the wood after he had cut it.,negative
not function%● I mureessa; naatussi aawa gidana danddayenna.,He is a eunuch;,negative
"Neeni ne siiriya piizzana xayikko, muruquuqees.","If you don't blow, your nose",negative
muujaliya%1. noun%► chigger%● Muujalee gediyan gelidosay laa'anttees.,Chiggers,negative
"oshinchchay oyqqido gishshawu, siiree muussotees.",I have a runny nose because,negative
"siiriya, muussotiya na'aa h.h.m.","snotnosed, snotty kids etc.",negative
na'aa siiriyappe oshinchchaa muuxxaasu.,The mother sucked the mucus out of her,negative
be'oosona.,Our class will visit the museum tomorrow afternoon.,positive
"muuziya%1. noun%► banana%● Be""a! Qaaree muuziya mees.",Look! A monkey is eating,positive
muxuxettaa doommiis.,The snake started hissing.,negative
muxuxiis%1. transitive verb%► hiss%● Shooshshi muxuxees.,A snake hisses.,negative
na''e%1. adjective%► rich; wealthy%● na''e keetta,rich family,positive
na''iya%1. noun%► pupil (of an eye)%● Na''iyara poo'oy ayfiyan gelees.,Light,positive
baynnaagaa.,Mother's love is unselfish.,positive
machchiya bolluwa sinttan haasayanawu yayyawusu.,The daughter-in-law is afraid,negative
Nuuyyoo naa''awukka oosoy dariis.,I haven't enough time; and neither has my,negative
naagibeenna%1. adjective%► unexpected%● naagibeenna hanotaa,unexpected,positive
naaqettida%1. adjective%► oppressed%● naaqettida asaa,oppressed people,negative
shammiis.,He bought a great deal of butter for the ceremony.,positive
"ha""i meeccettanaw koshshees.",Swaddling clothes must be washed now and then.,negative
naataa%1. noun%► children (plural)%● Naati maattaa uyiyogaa dosoosoa.,Children,positive
naatiraa%1. noun%► aromatic plant%● Naatiray cammees.,An aromatic plant tastes,positive
"maxaafay, issi Afirkka Asan xaafettiis.","The book, which you are going to read",positive
mino gidanawu koshshees.,Language students should be good at literacy.,positive
danttota xaafiis.,His profession is literary art. He has written a lot of,positive
nadaajiya%1. noun%► petroleum%● Nadaajee biittaa giddon de'ees.,Petroleum is,positive
ceremony%● Qeesee nagiriitaa shocees.,The priest beat the drum.,positive
laa'iya namisaa.,Famine is a shortage of food resulting in widespread hunger.,negative
"zin""iigees.",He is a lazy person. He lies down all the time.,negative
Yeehuwa kariyan asay narbbiis.,There are lots of people at the funeral.,positive
narkkakka%1. adjective%► fruitful%● narkkakka mangguwa,a fruitful mango tree,positive
narphiya%1. adjective%► dictatorial%● narphiya kawotettaa,dictatorial,negative
nasiya%1. noun%► fat (fat of sheep's tail only)%● Dorssaa nasee modhdho.,The,positive
hinin de'ees.,This sickle is yours; mine is over there.,negative
danddayakka.,"Wherever you go, you cannot change your identity.",negative
nabbabees.,A bookworm is always readings books.,positive
nookkay?,Why are you waving at me?,negative
nuppu oottiis.,The boy split the wood into small pieces.,negative
nuufayaasu.,She pulverized the teff.,negative
nuugaa%1. pronoun%► ours%● maxaafay nuugaa. Wotta.,The book is ours. Put it,positive
tamaaresoo bibookko.,We didn't go to school yesterday.,negative
