"English","Wolaytta"
"He became an enemy of mine when he quarreled with me.","doommidi tana morkkees."
"God safeguards me from enemy attacks.","naagees."
"as white as a","morssaa%1. noun%► poisonous mushroom%● morssa mala bootta"
"All","looking, graceful, lovely%● Maccaasa ubbay he motoloola bitaniya xeellees."
"A ghost is the","moytilliya%1. noun%► ghost%● Moytillee hayqqida asaa ayyaanaa."
"Brushing and rinsing your mouth after meals","achchay woocettiyogaa leppees."
"We must rinse our teeth after every meal.","mucanawu koshshees."
"A tailless dog cannot be caught by a hyena.","oykettanawu danddayenna."
"He chopped the wood into short chunks.","mudiis."
"The","mul""iis%1. intransitive verb%► sprout%● Iray wodhdhin, maatay mul""ees."
"The small girl's eyes got runny due to the illness.","ayfee sakkidi mulccattiis."
"The immature corn seeds look like snakes' eyes.","ayfe malattees."
"I shall never forget","mule%1. adverb%► never%● Ta ne kehatetta mulekka dogikke."
"The mangy dog lost much of his hair.","qoliis."
"The little girl is beautiful.","na'iya mulssussa."
"Washing it thoroughly, the cotton blanket became very white.","mulxxuxxu giis."
"Seed germination is best during the rainy season.","lo''idi doommees."
"The seeds did not germinate because of the harsh sun.","zerettay munnibeenna."
"The man overlapped the wood after he had cut it.","muraamuriis."
"He is a eunuch;","not function%● I mureessa; naatussi aawa gidana danddayenna."
"If you don't blow, your nose","Neeni ne siiriya piizzana xayikko, muruquuqees."
"Chiggers","muujaliya%1. noun%► chigger%● Muujalee gediyan gelidosay laa'anttees."
"I have a runny nose because","oshinchchay oyqqido gishshawu, siiree muussotees."
"snotnosed, snotty kids etc.","siiriya, muussotiya na'aa h.h.m."
"The mother sucked the mucus out of her","na'aa siiriyappe oshinchchaa muuxxaasu."
"Our class will visit the museum tomorrow afternoon.","be'oosona."
"Look! A monkey is eating","muuziya%1. noun%► banana%● Be""a! Qaaree muuziya mees."
"The snake started hissing.","muxuxettaa doommiis."
"A snake hisses.","muxuxiis%1. transitive verb%► hiss%● Shooshshi muxuxees."
"rich family","na''e%1. adjective%► rich; wealthy%● na''e keetta"
"Light","na''iya%1. noun%► pupil (of an eye)%● Na''iyara poo'oy ayfiyan gelees."
"Mother's love is unselfish.","baynnaagaa."
"The daughter-in-law is afraid","machchiya bolluwa sinttan haasayanawu yayyawusu."
"I haven't enough time; and neither has my","Nuuyyoo naa''awukka oosoy dariis."
"unexpected","naagibeenna%1. adjective%► unexpected%● naagibeenna hanotaa"
"oppressed people","naaqettida%1. adjective%► oppressed%● naaqettida asaa"
"He bought a great deal of butter for the ceremony.","shammiis."
"Swaddling clothes must be washed now and then.","ha""i meeccettanaw koshshees."
"Children","naataa%1. noun%► children (plural)%● Naati maattaa uyiyogaa dosoosoa."
"An aromatic plant tastes","naatiraa%1. noun%► aromatic plant%● Naatiray cammees."
"The book, which you are going to read","maxaafay, issi Afirkka Asan xaafettiis."
"Language students should be good at literacy.","mino gidanawu koshshees."
"His profession is literary art. He has written a lot of","danttota xaafiis."
"Petroleum is","nadaajiya%1. noun%► petroleum%● Nadaajee biittaa giddon de'ees."
"The priest beat the drum.","ceremony%● Qeesee nagiriitaa shocees."
"Famine is a shortage of food resulting in widespread hunger.","laa'iya namisaa."
"He is a lazy person. He lies down all the time.","zin""iigees."
"There are lots of people at the funeral.","Yeehuwa kariyan asay narbbiis."
"a fruitful mango tree","narkkakka%1. adjective%► fruitful%● narkkakka mangguwa"
"dictatorial","narphiya%1. adjective%► dictatorial%● narphiya kawotettaa"
"The","nasiya%1. noun%► fat (fat of sheep's tail only)%● Dorssaa nasee modhdho."
"This sickle is yours; mine is over there.","hinin de'ees."
"Wherever you go, you cannot change your identity.","danddayakka."
"A bookworm is always readings books.","nabbabees."
"Why are you waving at me?","nookkay?"
"The boy split the wood into small pieces.","nuppu oottiis."
"She pulverized the teff.","nuufayaasu."
"The book is ours. Put it","nuugaa%1. pronoun%► ours%● maxaafay nuugaa. Wotta."
"We didn't go to school yesterday.","tamaaresoo bibookko."
"'Ocha' tree is used as a support.","maaddees."
"The woman was in labor.","Maccaasiya yelanawu maretaa ohettaasu."
"Dying after going to battle shows the love","biittaawu de'iya miishuwa bessees."
"A lot of deaths took place on the military field.","hayqqiis."
"A warhorse is a","olaa paraa%1. noun%► warhorse%● Olaa paray olan togettees."
"the depth of","ollaa ciimmatettaa%1. noun%► depth%● haatta ollaa ciimmatettaa"
"Termites feed on wood.","ollattaa%1. noun%► termite%● Ollattay mittaa mees."
"My cotton","om''oliis%1. intransitive verb%► produce bud%● Ta puutoy om""oliis."
"All the hostages had been killed by","omooddettidaageeti ubbaykka hayqqidosona."
"In olden days, lots of artifacts were plundered in","buquray olan omooddettiis."
"The passengers were captured by the masked gunmen.","omoodettidosona."
"A","omoosiyo%1. noun%► milking cow, dairy cow%● Nuuyyoo omoosiya maaxxawusu."
"his house","soo"
"The house was desolate after the family had gone to","biichchin, keettay oniis."
"a disgusting dog","oo''o%1. adjective%► disgusting; repulsive%● oo''o kanaa"
"The sheep has foot","oodduwa%1. noun%► foot rot%● Dorssee tohuwa ooddoy oyqqiis."
"Whose book","oogaa%1. pronoun%► whose%● Ne maxaafay xayiichchin oogaa nabbabay?"
"Whose ox is this?","oogee%1. adjective%► whose (male)%● Hagee booray oogee?"
"She bought meat on credit.","%● A ashuwa oohaasu."
"He bought the meat on","oohiya%1. noun%► credit%● I ashuwa oohiyan shammiis."
"Who took my book","ooni%1. pronoun%► who%● Ta maxaafaa hagaappe ooni ekkidee?"
"The secretary doesn't allow anybody to enter the manager's office.","eenukku."
"From whom did you take","ooppe%1. pronoun%► from whom%● Miishshaa ooppe ekkadii?"
"She spoiled her brand new dress with mud while","keettaa baydda urqqan mooraasu."
"He renewed the trade license.","ooraxxissiis."
"Whose daughter is that?","na'iya oorii?"
"A gossip is a person who likes causing","asa asaara gattiyagee ooshshiyagaa."
"Monday","ooso gallassaa%1. noun%► workday, working day%● Saynnoy ooso gallassa."
"teaching","ooso hiillaa%1. noun%► profession%● tamaarisso ooso hiillaa"
"A hammer","ooso miishshaa%1. noun%► tool%● Madooshay anaaxiyassi ooso miishsha."
"a busy man","oosoy tolido%1. adjective%► busy%● oosoy tolido bitaniya"
"A trustworthy person won't tell anybody what you said.","oosinne odenna."
"The company workers are on strike.","zuppiya bolli doosona."
"A director is somebody who is at the head of an","huuphe kaalettiyagaa."
"Since he seriously","wogaappe aadhdhido gishshawu, A eti oosuwan oyqqidosona."
"to implement reforms","oosuwan peeshshanaassi"
"Muddy water is not drinkable.","uyettennabaa."
"She","orccuwa%1. noun%► dregs; residue%● A tukkiya orccuwa jabanaappe shokkaasu."
"He fattened an ox for slaughtering.","orddissiis."
"I have a cold; don't hug me.","qoommoppa."
"Bazite hated his conceited manner.","eeshshaa ixxaasu."
"Pride brings about failure.","kunddettaa kaalettees."
"I had pancakes with milk for breakfast.","maas."
"Lighting a fire requires dry wood.","mittaa koyees."
"Ethiopia needs","paabirkkaa%1. noun%► factory%● Toophphee cora paabirkaa koyees."
"She made the baby drink the gruel.","Qeeri na'aa erettaa paahaasu."
"The first flight was in America in the early 1900's.","1900M. layttaana."
"Switch on","paanoosiya%1. noun%► lamp%● Paanoosiya oytta; sa'ay xumiichchiis."
"a parasitic tick, worm, etc.","h.h.m."
"Ascariasis is the parasite that usually attacks small","qohiya paarasaytte."
"The doctor told me to support my sprained leg by wearing a","dottoree yootiis."
"When I","horoophphillee uttiyosaa beeroy tana paaspporttiya be""anawu oychchiis."
"The number of students in","incomplete%● Kifiliyan tamaare naatu qooday pacciis."
"I wanted to tackle the problem.","koyaas."
"If something is bought for the office, an","suyqiyappe ekettanawu bessees."
"It is debatable whether","biittaa dichchidee aggidee giyogee palamissiya yoho."
"Excrement from pack animals is good fertilizer for the","gadiya araddissees."
"He did work forcibly.","pannisiis."
"A foal is","para maraa%1. noun%► foal; pony%● Para mari wotara paraappe yelaga."
"This letter is","ooso keettaa gadaaway paramana xayikko, allaalle kessenna."
"When foreigners come to our country, they should learn","tamaarana bessoosona."
"The cassava leaf got bigger.","Boynaa hayttay parggaggiis."
"He","elected, make or change the law of a country%● I parallaaman doorettiis."
"A shoots digging","digs plant shoots%● Parshshollee eceriyappe guuttaa darees."
"Malaria is a curable","paxiyo%1. adjective%► curable%● Shekkeeree paxiyo hargge."
"bad smell or","peenuwa%1. noun%► smell%● xinqqiya peenuwa woykko sawiya peenuwa"
"The lamb suckled its mother.","maray ba aayeessi xanttaa pelliis."
"Penicillin was discovered by Alexander","Fleming giyo eranchchan demmettiis."
"The tea","penttiis%1. intransitive verb%► be boiled%● Ta son shayee penttiis."
"You should have your tooth fixed; it is","giigisissanawu bessees; perzzattiis."
"Give the dry","phachchaa%1. noun%► hay, dry grass%● Phachchaappe miizzawu yegga."
"Weeds damage seedlings.","growth%● Phedhdhay puutiya qohees."
"It is a terrible behavior to be","opposed%● Pheexigazziyogee iita eeshsha."
"We can use the dry stem of the 'enset' plant for making string.","danddayettees."
"He","philqqaadiya%1. noun%► vial%● Philqqaade kumetta marzziya uyidi hayqqiis."
"Old men often walk holding a javelin.","philxxuwa oykkidi hemettees."
"The","pholqqu giis%1. intransitive verb%► flash%● Wolqqanttay pholqqu gees."
"a gleam in someone's eye","phoolettaa"
"It takes twenty-one days for eggs to hatch.","qoxettees."
"For","picaataa%1. noun%► mashed cassava%● Masqqalaayyoo nuuni picaataa meettees."
"The","picciis%1. intransitive verb%► overcook (for cheese)%● Pilay picciis."
"a flat plate","pidda%1. adjective%► flat; outstretched; straight%● pidda sayniya"
"He","animal by squeezing the throat%● I ba baarigaarawu piillanttiya oykkiis."
"Don't blow your nose at the dinner table.","siiriya piizzoppa."
"Cheese is made from milk.","pilaa%1. noun%► cheese%● Pilay maattaappe kiyees"
"the film shown on","pilmiya%1. noun%► film%● televizhiiniyan be'ettida filmiya"
"Philology is the","qaalatuura/doonatuura gayttiiyo gaytotaa pilggiya saynise."
"He","pincciis%1. transitive verb%► splinter; chop%● I eettiyo mittaa pincciis."
"She pierced the flesh","let out pus%● A ba tohuwappe muujaliya piqqada kessaasu."
"The horse","piriixiis%1. intransitive verb%► gallop%● Paray dembban piriixiis."
"If you don't use fertilizer, crops grow spindly.","kattay pisissees."
"He reported what he did to the boss.","halaqawu shiishshiis."
"A sentence begins with a capital letter.","doomettees."
"The woman poked the embers of the","bonqquwa ba kushiya biradhdhiyan pixiraasu."
"The boiling grain","pociis%1. intransitive verb%► bubble%● Badalay pocees."
"She parboiled the maize.","precook%● A badalaa pocissaasu."
"Open the bottle and pour the drink.","Xaaramusiya pogada ushshaa tiga."
"When fat men walk a long","adussasaa hemettikko, sharqqee pogolana danddayees."
"Eating on the road is shameful.","miyogee pokkees."
"You cannot go","oosuwa sohuwara polana xayikko, tanaara giyaa baana danddayakka."
"''I am","Tamaaree, ""taani mooraas; sa'aa poo'issaas,"" asttamaariyassi yaagiis."
"Would you switch on the light, please? I","poo'issuutee? Taani nabbabana koyays."
"a cunning liar","pooga%1. adjective%► cunning%● pooga worddanchchaa"
"burning or hot chili","bambbariya"
"The sauce is so hot that we","poogiyo gishshawu metootennan maanawu danddayokko."
"the tower of","pooqiya%1. noun%► story; floor; tower; stair%● Baabiloone pooqiya"
"Sit still and stop fidgeting!","poosipoosoppa!"
"After his wife died, the widower did not remarry.","machcho ekkibeenna."
"They wiped their","pooxaa%1. noun%► towel%● Bantta kushiya pooxan quccidosona."
"The boy cut his finger when he was sharpening his pencil.","qanxxiis."
"A chafe","hemettidoogaappe denddidaagan toho biradhdhee tawu poqettaa doommiis."
"She only half cooked the sweet potatoes. I am","kessaagaasu. Ayssakko erikke."
"You have lost the key for the mailbag.","xayssaychchadasa."
"He tied the goring cow by","cows that gore)%● I qayciya miizziyo poxooriis"
"He took the book from","ppe%1. postposition%► from%● I taappe maxaafaa ekkiis."
"A fridge","priijiya%1. noun%► refrigerator; fridge%● Friijee qumaa irxxissees."
"Horses are large animals that can run fast for","priixanawu danddayiya mehe."
"The man who wrote the dictionary","kochchaa maxaafaa xaafanchchay profeesere."
"The main worship program is done on Sundays.","oosettiis."
"When we ascended the mountain, we encountered colder weather.","demmida."
"She is busy tidying her house.","duge gawus."
"It is difficult to cross a busy street.","daro meto."
"No one","pugee baynna asa gidiyogaappe denddidaagan A ay asinne bonchchenna."
"He blew up the","puggiis%1. transitive verb%► blow up%● I pugiya puggiis."
"The shepherd","pulaaliya%1. noun%► flute%● Henttanchchay ba pulaaliya punniis."
"The calf grew after","bigger, grow a little%● Maray aaca maataa miidi purggiis."
"The tree","puriis%1. intransitive verb%► bear seed%● Mittay cora ayfiya puriis."
"splashing up water","pushakuwa%1. noun%► splash; scooping%● haattaa pushakuwa"
"Picking up the gleanings from the farmland,","qori bayzzidi kuttuwa shammiis."
"Afraid that he'd be accused with the others, he","gakkanaakkonne giidi pushiis."
"Before the maid stole his property, the owner luckily","keettaaway puttu giis."
"The gray-haired man is my uncle.","aawaa ishaa."
"She","plant bulbs as a way of cleaning them%● Shukkaariya puushada piitaasu."
"Many","puuttuwa%1. noun%► cotton%● Daro qommo maayoy puuttuwappe oosettees."
"She fumigated the cotton blanket with an aromatic herb known as","kashshaasu."
"The wood","puyxatiis%1. intransitive verb%► be sharp%● Mittay massin puyxatees."
"He","puyxayiis%1. transitive verb%► sharpen%● Irssaasiya xeeraa puyxayiis."
"Pinto is a horse","qaaca%1. adjective%► piebald; pinto%● Qaacay paraa meraa."
"An unlucky person dies young.","hayqqees."
"I am lucky","qaada%1. adverb%► lucky%● Ta nenaara hagan gayttidoogee lo""o qaada."
"What bad luck! He died in a car accident.","kaamiya daafan hayqqiis."
"the unlucky victim of the battle","qohetta asa"
"Good diction avoids","shaakkiyo wode qofaa qonccettaa xubbiyabaa diggees."
"Father promised to buy his children new clothes.","shammanaw qaalaa geliis."
"If you don't know the meaning of the word, please","qaalaa kochchaappe xeellu."
"See you tomorrow morning; be punctual.","qaalaa naaga."
"He tucked","qaaphiis%1. transitive verb%► tuck%● I mashshaa qarxxan qaaphiis."
"The warrior removed the penis of his enemy in","ba morkkiya olan qaarattiis."
"She wore a headscarf.","qacaasu."
"Giraffes","qaciniya%1. noun%► giraffe%● Qaciniyassi keehi adussa qooree de'ees."
"By adding more water, the dough has been diluted.","bukeesoy qacinniis."
"cartridge of a bullet","qalahiya%1. noun%► cartridge; casing%● xiitiya qalahiya"
"The local people use a combination of oats and milk to","gattii go'ettoosona."
"The dog was","qammi%1. adverb%► dusk; evening%● Kanay qammi bocciiddi aqiis."
"That woman has given birth fifteen times.","ichchawu qantta yelaasu."
"The","qaphiis%1. transitive verb%► capture, hold with tongs%● Tamay qaphettiis."
"He held","qaphiya%1. noun%► tongs; pincers; pliers%● I tamaa qaphiyan oykkiis."
"The door creaked. I think somebody is opening","uray dooyiiddi deennan aggenna."
"He cut the leaf of the false banana.","qaraariis."
"a","qarariisawa%1. adjective%► wise; smart; clever%● qarariisaawa maccaasiyo"
"The knife is sharp.","qarattees."
"He gulped the milk.","mittiis."
"kinky hair","qarccochcha%1. adjective%► kinky; curly%● qarccochchca huuphe"
"He is a pathetic boy.","sadness%● I qaretissiya na'a."
"We set up a woven partition of bamboo in","qol''wa shaakkanawu qarxxaa essida."
"Having found the","looxiya wuuqqido miishshaara oyqqidi qashissidosona."
"The policeman arrested some of the","xaacee oyqqidi qasho keettaa efiis."
"The criminal was sent to prison for five","layttawu qasho keettaa yedettiis."
"Arrest is the seizing and taking of","issi uraa oyqqidi qasho keettaa efiyogaa."
"I have an appointment with somebody at the Bekele Molla Hotel","qaxaroy de'ees."
"The wound of circumcision begins healing within a week.","doommees."
"My ox does not","qayciis%1. transitive verb%► gore%● Ta booray qaycenna; aada."
"a","qayciya%1. adjective%► goring, a cow, ox, bull, that gores%● qayciya booraa"
"Sticks can be used to punish","eetto mittadan go'ettanawu danddayettees."
"Due to a lack of fuel, the food was not","denddidaagan, kattay qayye kiyiis."
"Leave the","qeeraa%1. noun%► small thing%● Woggaata aggaagada qeeraata eha."
"His arm is in a sling because of the","qeeri do'ay dukkidoogee qashuwan dees."
"The baby","(refers to babies)%● Qeeri na'ay xammidoogaa qelxxummiis."
"Although he knew little about automobiles, he","odiyo oduwan coo qem''elattees."
"Someone who walks in the dark is not afraid of the wildlife.","geenna."
"She drew fresh water from the well.","goochchaasu."
"His","qiljjijja%1. adjective%► popeyed%● A qiljjijja ayfee naata yashshees."
"small children's mock","naatu qillicciya"
"He gave her a knowing wink.","iira erettiyo gishshawu qim""uwa doommiis."
"spicy woxiya","gujettido woxiya"
"Spices season food.","qimaamiya%1. noun%► spice%● Qimaamee qumaa mal""ettees."
"The sun was bright, so she squinted.","ayfee qishiis."
"The","qixiis%1. transitive verb%► remove (of leaves)%● Na'iya santtaa qixaasu."
"Don't make any false statements to the judge.","haasayoppa."
"Shall I remind you that we will have a serious meeting","nena qofissoo?"
"A horse that wins in a horse race is said to be","paray qolchchaa geetettees."
"Old men wear a local shirt under their overcoat.","qoliya maayees."
"lack of clarity in the leadership","pacaa"
"I got a revelation concerning his previous life.","be'aas."
"I need an explanation","Halaqay giidobaa xeelliyagan taani qonccissuwa koyays."
"Because of his serious sickness, the man","daruwappe denddidaagan, qonqqolliis."
"The boy and girl are embracing each","other%● Na'iyanne na'ay qoomettoosona."
"A raven is a kind of","qooraasiya%1. noun%► raven%● Qooraasee wogga kafo qommo."
"The man grew the pasture.","qooroyiis."
"He sneered at the foolish boy.","qoosiis."
"The baby awoke when she opened the squeaky door.","yiiray beegottiis."
"We stayed up late last night to see the lunar eclipse.","takkida."
"doorpost of a gate","vertical side pieces of a doorframe%● kariya qosilettaa"
"The","qoxasu%1. transitive verb%► hatch; brood%● Kuttiya phuuphulliya qoxasu."
"His elder son built a hut.","qachchiis."
"He built a","quliya%1. noun%► cottage, hut, a small house%● Quliya qachchiis."
"Some birds imitate people's voices.","asaa cenggurssaa qulloosona."
"This bed is uncomfortable for a guest.","qum''ees."
"He","qunqqumiis%1. intransitive verb%► look fat%● I taappe guuttaa qunqqumees."
"The old man","quunniis%1. intransitive verb%► bend forward%● Bitanee quunniis."
"The weaver inserted fibers to make shawls.","Shimaynnee kutaa quxariis."
"with me","ra%1. postposition%► with%● tanaara"
"The carpenter has not","Anaaxee keettaa kofaa hanno gakkanawu saagibeenna."
"The men draw lots for the portion of the","ashuwassi asay saamaa kessiis."
"I am thirsty.","saammiis%1. noun%► be thirsty%● Tana saammiis."
"Because water had soaked through the carton, the","daro saamunay moorettiis."
"The","saassotiis%1. intransitive verb%► dribble; drool%● Qeeri na'ay saassotees."
"The","saasukettaa%1. noun%► whisper%● Asttamaariya naatu saasukettaa siyaasu."
"Some students were","asttamaaree kifiliyan tamaarissiiddi diishin saasukkoosona."
"The","goshshanchchatussi wontto saateppe guyyiyan yaa'ay de'iyoogaa odiis."
"The woman chopped the 'enset' dough.","unccaa saattaasu."
"sloping land","sagadattiya%1. adjective%► sloped; slanted%● sagadattiya biittaa"
"Sit","of seats for spectators at races or sports meetings%● Sagannatiyan utta."
"A mule","saggaariis%1. intransitive verb%► canter (mule)%● Baquliya saggaarawsu."
"I do not","something%● Tana O hanqqettanaagaa aybi saggidaakkonne ta erikke."
"The boy slid and fell into the hole.","kunddiis."
"Used clothes are very cheap in the market.","keehi hirayso."
"She put a mat on the floor.","saleenaa hiixxaasu."
"Boredom results fault.","kaalettees."
"The snake glides across the ground.","Shooshshay sa'aara sallees."
"The neighborhood dispute intensified.","saluwa aylliis."
"The animal hide was","saluwa%1. noun%► obsidian%● Galbbaa saluwan qaacettees."
"a spoiled egg","phuuphulliya"
"Mauve is a pale purple color between red","zo'o gididi samaaye malati ekkiyagaa."
"What a lazy farmer their","ayba samppula goshshanchchee! Gallassi z'n""i pe'ees."
"Sandalwood smells nice.","the form of stick)%● Sanddallee sawees."
"Open the door wide.","sanqqaa%1. noun%► door%● Sanqqaa aassa dooya."
"If","sanssalataa%1. noun%► chain%● Wodoroy duuxxikko, ta sanssalataa shammana."
"A sentry is a man who is assigned to keep","danoy gakkenna mala xeelliyagaa."
"A sentry box refers to a shelter at the roadside in which","takkiyo keettaa."
"He loosened his belt.","saqqiya%1. noun%► belt%● I ba saqqiya lefettiis."
"Smoking","sarbbuwa%1. noun%► smoking%● Sarbboy ne payatettaa keehi qohees."
"After he greeted him, he departed to another place.","harasaa biis."
"This year is more","bountiful%● Zilayttappe ha laytti sa'ay taassi sarqqiis."
"A police car raced","warning%● Polisiya kaamee sayreniya waasissiiddi ellelliis."
"The butter melted","seeriis%1. intransitive verb%► melt%● Oyssay awan seeriis."
"It became midday.","the day)%● Gallassay seetiis."
"One minute has","sekonddiya%1. noun%► second%● Daqiiqay usppun tammu sekondde."
"The pot on the stove is not","Taman wottido otoy seliseddiis; sittissa."
"The nanny goat has given","Senkkeleetiya issitoo kanchchiya yelida deeshshiyo."
"Ten times a hundred is","sha'a%1. adjective%► thousand%● Tammutoo xeetay sha'a."
"A thousand","sha'utoo%1. adjective%► thousand times%● Sha'utoo sha'ay miiloone."
"He","shaacciis%1. intransitive verb%► spend a year%● I ambban laytta shaacciis."
"The wife divorced after she","Keettaayyiya ba azinaara ooyettada shaahettaasu."
"Be careful because soot can ruin your clothes.","danddayees."
"Shawl dries quickly when it is washed and spread in the","miccin eesuwan melees."
"In Wolaita culture, the eldest daughter shrouds the body of her","shaarawusu."
"It hailed and caused serious","shaccida shachchay carshshaa dippi oottiis."
"sandy soil","shafetiya%1. adjective%► sandy%● shafetiya biittaa"
"If you inbreed the animals, the offspring","xaallikko, yelettiya maray shafees."
"She buys and","shagaxaa%1. noun%► goods%● A shagaxaa shammawusunne bayzzawusu."
"Abortion is forbidden in many countries.","biittatun digettees."
"The man stored the wood in the loft.","kuuriis."
"He plowed maize plants.","badalaa shaliis."
"The maize in front of your house requires weeding.","bessiis."
"The meat became maggoty.","shalqqiis."
"You should keep your receipt as proof of","ne kaarinniya naaganawu koshshees."
"Shirts are usually worn under coats.","maayettees."
"She wore canvas shoes without socks.","baynnan wottaasu."
"It is good to weed so that the crops grow.","diccanawu lo''o."
"Experienced farmers know how to remove weeds.","eroosona."
"A witch is a woman who believes in witchcraft.","oosuwa ammaniyaro."
"The","sharqqiya%1. noun%► groin%● Ayyiya bari na'ee sharqqiya binddillaasu."
"The merchant won his case in court.","ba yo'uwa shilootan shatimmiis."
"The man paid a bribe in","chilootan shatinttaa demmanawu maganxxaa mizziis."
"'Shatinta' is thin wood","Shatinttay kaaraa daddanawu maaddiya lee'e qayxaare."
"The tea is too","shayiya%1. noun%► tea%● Shayee mishuwa daridaagee ushshenna."
"He slapped the girl","shayyiya%1. noun%► cheek%● I na'ee shayyiyan baqaa tiliis."
"The jeans","sheechchiya%1. noun%► hip%● Jinssee sheechchiya heeran keehi xuntta."
"A","sheekiya%1. noun%► sheikh%● Sheekee Isilaama haymaanootiya kalettiyagaa."
"A woman who has tuberculosis is coughing.","qufawsu."
"He was raised up depending on his grandmother since his","sheephetidi dicciis."
"She sang a lullaby to put her baby to sleep.","yettaa yexxaasu."
"Please coax the baby not to","Hayyanaa, na'ay yeekkenna mala sheleeshsharkkii."
"Biology deals with living things.","xanna'ees."
"Dogs often","darotoo garawa gooddiiddinne A bolli boccidi shemppuwa teqqees."
"Had I had courage, I would have hit those thieves.","attiis."
"The butter","shereqiis%1. intransitive verb%► over churn%● Oyssay shereqiis."
"Get rid of the mud from the plow.","plowshare%● Marashaappe shibbaa laala."
"Your face looks shiny if butter is applied to it.","neeyyoo som""oy shiccees."
"North","shidhdhaa%1. noun%► pole%● Huuphessa Shidhdhaa woykko Tohossa Shidhdhaa"
"People sit on a cultural sofa country.","uttees."
"The merchant bought","reap%● Zal''anchchay cora shagaxaa issi kuttan shifaariis."
"The milk started to turn to butter.","milk)%● Maattay shimppiis."
"It is needed to offer support to","Qashettida asawu shinqqanawu koshshees."
"She uses expensive","shittuwa%1. noun%► perfume%● A al''o shittuwa go'ettawusu."
"The horse trotted a long way in half an hour.","sholaatidi biis."
"He is a mischievous person. He may take something","aybakko ekkana danddayees."
"in good taste","shonggaa%1. noun%► taste%● lo""o shongga"
"The mead is tasty after being fermented.","shonggattiis."
"Sugar","shonkkooruwa%1. noun%► sugar cane%● Sukkaaree shonkkooruwappe oosettees."
"Don't be slow and inefficient. Finish the","shoocattoppa. Oosuwa eesuwan wurssa."
"She didn't return from the store quickly.","eesuwan simmabeykku. A shoocayaasu."
"The hole is dug","shoodiraa%1. noun%► hole digger%● Shoodiran ollay bookettees."
"Because of crying all day he was hoarse.","gishshawu ayyoo qaalay shoolaqiis."
"half ripe lemon","shoollo%1. adjective%► half ripe%● shoollo loomiya"
"The","shoollotiis%1. intransitive verb%► be nearly ripened%● Loomee shoollotiis."
"a disciplined talk","shori diyo%1. adjective%► disciplined%● shori diyo haasayaa"
"The mud caused","shorooquwa%1. noun%► skid; slip; mud%● Tana shorooqoy onggiis."
"A village leader called for a meeting.","asaa shiiquwawu xeessiis."
"The people in","shuchchaa%1. noun%► village%● Shuchchan diya asay yaa'an uttiis."
"He is a","shufeeriya%1. noun%► driver, chauffeur%● I shufeere, kaamiya laaggees."
"What a pointless","ayba shufuro haasayeenne ta wodiya coo wurssiyobee!"
"In Ethiopia, many people save money using a communal saving system.","wottees."
"When sweet potato is overcooked, it","Shukkaaree musidi ka''ikko, mal''enna."
"The plants wilted in the sun.","shullidosona."
"The","shurrubbaa%1. noun%► hairstyle (plaited)%● La na'ee shurubbay ayba lo""ii!"
"I have almost completed the work","oosuwa shushshaas."
"mayor of the","shuumiya%1. noun%► mayor; head (of an office)%● ambbaa shuumiya"
"The deflated balloon fell to the ground.","wodhdhiis."
"The balloon shrinks when the air is released.","kiyiichchin, shuuqqees."
"The","shuushettida%1. adjective%► hungry%● Shuushettida bitanee qumaa woossiis."
"She","shuushiya%1. noun%► hunger; starvation%● A shuushe woriyo qumaa koyaasu."
"The friends have now made up after","%● Laggeti ooyetti simmidi sigettidosona."
"We smell with our nose.","siiriya%1. noun%► nose%● Nu siiriyan singgeettees."
"She sipped a glass of","burccukko maattaa heezzu baso oyttaara siitada usttaasu."
"The stick does support the yam tendrils.","kaafees."
"The cat chased the rat quickly.","oyqqaasu."
"Something flew into the fire and now there is an","gelidaagee silla silla gees."
"vice leader","sima%1. adjective%► vice%● sima gadaawaa"
"The policemen are walking around. What","heeran simerettoosona. Aybee kiyiday?"
"We smell with our","singgiis%1. transitive verb%► smell%● Siiriyan singgoos."
"He likes films, so he goes to the cinema often.","keettaa bees."
"Don't accept the suspicious story as if it is the","oduwa tuma gaada ekkoppa."
"A suspicion is the","baynnan danuwa woykko kobaa oottiis giidi qoppiyogaa."
"Tuck the","sirqqiis%1. transitive verb%► tuck%● Shamiziya sure giddon sirqqa."
"Hearing is","sissaa%1. noun%► hearing%● Hayttaa tulle asaassi sissay hanenna."
"He felt","for having committed sins or misdeeds%● A mooroy ayyoo siyettiis."
"We found out that much of the information we got was inaccurate.","be'ida."
"You can take coffee in the lounge of an airplane when you","baanawu danddayaasa."
"An ox is a domestic","so mehiya%1. noun%► domestic animal%● Booray so mehe."
"She was wearing a short","slight; trifling%● A sodaato qamisiya maayada bawusu."
"The  sleeping man slid from the stool.","Xiskkiya bitanee oydiyappe solddiis."
"The children slid into","deviate, move aside%● Qeeri naati boohuwan sololoosona."
"Most people wrinkle their faces when they get","yiillotiiddi som''uwa tukkees."
"Sofa is","soofaa%1. noun%► sofa%● Shidhdhayuttanawu injjetiya miishsha."
"Is your father at home?","soon%1. adverb%► at home%● Ne aaway soon de'ii?"
"He is at home.","sooni%1. adverb%► at home, inside%● I sooni de'ees."
"You","sooppe%1. adverb%► from home%● Miishshaa ta sooppe ekkanawu danddayaasa."
"After he was hit in the","som''uwa bolli deshetti simmin, ayyoo siiree sooriis."
